Date,QB1,QB2,RB1,RB2,WR1,WR2,WR3,TE,UTIL,Total
2014-10-25,21.0,26.3,2.4,2.0,27.5,14.6,5.4,26.4,3.2,128.8
2014-10-25,4.6,33.4,17.1,25.5,3.5,14.2,45.2,3.2,5.7,152.4
2014-10-25,13.1,15.4,17.4,7.8,11.1,27.8,12.2,4.9,5.7,115.4
2014-10-25,22.4,9.1,3.3,7.3,8.5,6.3,23.5,3.7,7.9,92.0
2014-10-25,25.2,27.0,5.8,9.7,10.2,6.8,5.0,6.2,6.5,102.4
2014-10-25,12.0,4.7,47.7,3.5,7.0,3.8,4.9,14.3,2.4,100.3
2014-10-25,20.5,7.3,32.0,2.0,14.9,13.0,4.9,54.2,8.9,157.7
2014-10-25,15.9,20.5,8.1,2.4,7.4,24.6,6.3,13.1,19.2,117.5
2014-10-25,15.9,15.9,15.0,12.4,5.7,8.5,24.6,7.2,7.8,113.0
2014-10-25,4.6,32.4,3.7,16.2,12.0,6.0,19.6,3.8,6.1,104.4
2014-11-01,6.3,16.0,3.7,23.0,9.8,10.0,3.1,3.4,32.4,107.7
2014-11-01,14.8,18.5,13.0,2.1,12.5,3.2,3.7,10.5,28.8,107.1
2014-11-01,15.8,20.5,12.1,5.6,10.9,11.5,18.6,6.6,26.1,127.7
2014-11-01,37.1,11.1,5.5,19.3,3.7,4.3,19.6,8.0,10.7,119.3
2014-11-01,38.7,9.3,4.3,36.4,11.0,4.5,9.1,3.7,3.2,120.2
2014-11-01,23.8,9.0,10.3,2.1,17.3,3.5,7.2,3.3,10.8,87.3
2014-11-01,15.0,16.2,4.5,17.9,6.0,4.3,6.4,3.5,8.8,82.6
2014-11-01,24.3,6.5,3.1,3.0,13.4,2.8,3.7,4.6,36.4,97.8
2014-11-01,29.2,17.1,32.4,5.1,9.3,14.5,4.0,2.8,31.3,145.7
2014-11-01,7.5,10.7,37.4,21.4,3.4,13.0,9.3,4.1,13.3,120.1
2014-11-08,9.2,6.5,6.9,14.4,12.7,16.1,3.8,7.2,3.1,79.9
2014-11-08,25.6,15.4,12.4,2.4,6.9,7.3,3.3,2.6,14.5,90.4
2014-11-08,23.8,27.9,5.6,6.1,26.4,16.6,12.0,10.7,26.0,155.1
2014-11-08,7.8,21.4,6.4,7.8,12.7,22.3,15.6,2.6,8.8,105.4
2014-11-08,29.5,21.2,2.4,2.6,6.4,5.1,5.6,4.3,3.8,80.9
2014-11-08,25.6,24.5,13.1,8.6,16.8,8.4,5.1,3.8,20.1,126.0
2014-11-08,4.2,6.2,2.0,5.7,14.1,18.1,12.5,11.9,10.6,85.3
2014-11-08,7.9,26.3,17.0,27.0,3.5,31.0,3.0,18.2,3.4,137.3
2014-11-08,27.8,17.3,21.8,10.9,3.3,6.9,7.6,3.2,6.2,105.0
2014-11-08,13.8,19.1,8.1,7.9,4.4,5.5,13.6,3.4,18.5,94.3
2014-11-15,13.1,22.0,23.8,7.5,10.9,6.7,12.7,2.8,6.1,105.6
2014-11-15,12.8,17.2,23.8,3.3,9.9,10.8,5.1,3.2,20.3,106.4
2014-11-15,7.2,5.3,3.5,12.2,3.6,3.4,32.0,41.0,2.8,111.0
2014-11-15,19.4,23.1,6.8,3.4,3.0,5.8,4.7,11.6,5.8,83.6
2014-11-15,23.1,29.3,23.4,3.4,16.9,25.7,9.3,9.7,7.6,148.4
2014-11-15,6.1,25.6,9.5,10.3,19.4,10.7,10.5,6.3,3.1,101.5
2014-11-15,31.8,14.2,11.7,9.7,7.9,12.7,8.9,12.1,4.2,113.2
2014-11-15,12.3,22.9,2.1,5.7,6.0,5.1,9.4,7.0,2.1,72.6
2014-11-15,7.6,5.6,4.5,11.6,6.1,8.9,20.2,2.8,5.3,72.6
2014-11-15,11.0,28.1,49.0,10.1,4.9,3.5,8.4,9.4,8.6,133.0
2014-11-22,7.0,11.2,33.9,25.2,21.7,4.2,3.7,2.5,12.6,122.0
2014-11-22,10.2,16.7,9.1,18.3,13.3,7.8,12.3,6.2,22.6,116.5
2014-11-22,15.0,18.2,18.1,2.5,14.5,11.3,32.5,17.2,3.5,132.8
2014-11-22,11.7,6.1,3.0,4.7,4.4,32.7,11.3,12.3,15.3,101.5
2014-11-22,6.1,5.2,9.2,3.5,4.6,14.5,7.1,4.5,27.7,82.4
2014-11-22,31.2,20.2,26.2,30.9,3.4,3.0,3.9,2.2,7.2,128.2
2014-11-22,22.4,7.9,18.5,2.7,9.2,17.6,21.5,14.0,3.3,117.1
2014-11-22,37.5,31.2,8.6,6.7,14.3,8.1,5.4,3.0,4.9,119.7
2014-11-22,11.7,15.5,4.3,4.3,10.8,13.9,16.5,5.1,4.4,86.5
2014-11-22,16.7,13.9,15.1,15.1,10.0,9.7,3.5,10.4,3.5,97.9
2014-11-28,10.1,11.6,14.5,27.5,2.8,26.0,15.9,12.4,10.3,131.1
2014-11-28,46.6,24.0,2.0,22.7,11.7,5.0,18.0,33.9,3.3,167.2
2014-11-28,10.1,14.2,4.3,5.0,9.3,32.2,35.1,9.1,35.5,154.8
2014-11-28,10.5,9.4,26.7,9.9,3.4,10.4,12.4,4.8,23.8,111.3
2014-11-28,17.5,46.6,2.0,6.5,16.0,15.4,5.7,4.1,2.2,116.0
2014-11-28,7.4,10.1,2.0,14.5,15.4,11.2,34.7,3.8,2.9,102.0
2014-11-28,6.9,13.1,26.7,38.3,17.0,7.8,16.7,12.4,6.7,145.6
2014-11-28,9.6,5.2,16.9,9.9,9.1,23.8,7.4,2.2,9.5,93.6
