Date,P,C,1B,2B,SS,3B,OF1,OF2,OF3,Total
2013-09-22,4.0,15.0,6.0,32.5,14.5,15.0,18.0,6.0,32.0,143.0
2013-09-22,11.0,8.5,16.5,8.5,14.5,15.0,18.0,20.5,27.0,139.5
2013-09-22,4.5,8.0,23.0,5.0,18.0,6.0,6.0,20.5,23.0,114.0
2013-09-22,5.5,5.5,6.0,8.5,23.5,9.0,8.0,18.0,11.5,95.5
2013-09-22,5.5,9.0,20.5,9.0,45.0,24.0,5.5,6.0,6.0,130.5
2013-09-22,35.0,8.5,39.0,8.5,14.5,6.0,5.5,20.5,11.5,149.0
2013-09-22,15.5,17.5,29.5,5.5,11.5,12.0,21.0,6.0,6.0,124.5
2013-09-22,4.0,8.5,20.5,33.0,23.5,9.0,25.0,14.5,21.0,159.0
2013-09-22,19.5,8.5,5.5,6.0,20.0,6.0,8.5,11.5,18.0,103.5
2013-09-23,8.0,5.5,8.0,20.0,14.5,27.0,14.5,8.5,26.5,132.5
2013-09-23,10.0,3.0,8.5,32.5,9.0,27.0,17.5,12.0,9.0,128.5
2013-09-23,5.0,6.0,5.0,6.0,9.0,9.0,17.0,13.5,19.0,89.5
2013-09-23,5.0,17.5,18.0,5.5,18.0,11.5,19.0,6.0,33.0,133.5
2013-09-23,25.5,5.0,6.0,5.5,3.0,12.0,21.0,9.0,5.5,92.5
2013-09-23,8.5,5.0,26.5,5.5,14.5,27.0,12.0,9.0,6.0,114.0
2013-09-23,44.0,3.0,9.0,13.5,3.0,8.5,21.0,14.5,9.0,125.5
2013-09-23,10.5,20.5,8.0,32.5,6.0,19.5,6.0,12.0,20.5,135.5
2013-09-23,8.0,20.5,5.0,5.5,18.0,5.0,9.0,17.0,8.5,96.5
2013-09-23,6.0,6.0,6.0,6.0,12.0,6.0,6.0,33.0,6.0,87.0
2013-09-24,36.5,5.0,5.5,6.0,21.0,5.5,18.0,15.0,12.0,124.5
2013-09-24,30.0,9.0,11.5,5.5,5.5,11.5,15.0,24.0,18.0,130.0
2013-09-24,33.5,8.5,14.5,30.0,6.0,24.0,20.5,5.5,5.5,148.0
2013-09-24,26.5,3.0,9.0,9.0,21.0,6.0,9.0,29.5,11.0,124.0
2013-09-24,9.0,16.0,14.5,12.0,21.0,27.0,29.5,18.0,19.0,166.0
2013-09-24,9.0,5.0,30.0,5.5,21.0,8.5,5.5,18.0,14.0,116.5
2013-09-24,7.5,12.0,30.0,5.5,6.0,5.0,8.5,20.5,26.5,121.5
2013-09-24,8.5,9.0,9.0,5.5,21.0,11.5,19.5,11.5,19.0,114.5
